crime_rate,gdp_capita,minority_percentage,freedom,infrastructure,life_expectancy,price_food,price_water,price_energy,price_housing,tax_progressiveness,openness,neuroticism,consciencitiousness,agreeableness,extraversion,intelligence,racism,skepticism,ambition,loyalty,local,national,income,job_satisfaction,age,education,crime_themselves,crime_on_him,tolerance,community,unemployment_time,personal_taxes_level,security,risk_aversion,public_spending,cost_of_living,minorities_support,stability,job_security,future_outlook,equality_markets,nation_globe,liberty_authority,tradition_progress
1.925,86043,0.183,0.648,0.963,79.3,446.472,216.673,4974.687,133684,0.295,0.164,-0.615,-0.272,-0.125,-0.815,-0.065,-0.276,0.539,1.0,-0.459,-0.843,-0.781,0.196,0.217,21,0.647,0.026,0.095,0.371,-0.575,0.286,-0.072,0.434,1.0,0.044,0.543,-0.525,0.727,0.501,-0.73,-0.002,0.734,0.163,0.461
1.863,98261,0.17,0.639,0.858,81.3,436.983,222.662,5060.254,164171,0.26,0.063,0.155,0.266,0.422,-0.532,0.066,-0.046,-0.018,0.442,0.533,0.675,0.156,0.221,-0.316,20,0.677,0.127,0.367,0.212,-0.207,0.015,-0.152,0.237,-0.008,0.572,0.558,0.354,-0.019,0.176,0.02,0.524,-0.183,-0.267,0.284
2.207,33192,0.233,0.642,0.226,82.3,207.577,143.776,3986.959,49734,0.149,-0.227,-0.284,-0.225,0.184,-0.59,0.064,-0.037,0.011,0.326,-0.272,-0.119,-0.466,0.777,0.335,22,0.551,0.061,0.384,0.143,0.032,0.48,-0.158,0.938,0.565,-0.006,0.0,-0.689,-0.705,-0.863,0.572,-0.504,-0.633,0.57,-0.338
1.955,100230,0.211,0.523,0.884,76.9,435.591,220.1,5062.76,155339,0.17,-0.867,-0.134,-0.365,-0.379,-0.824,0.074,0.403,-0.003,-0.752,0.107,-0.765,-0.808,0.23,0.024,19,0.011,0.067,0.362,-0.383,0.076,0.764,0.167,0.933,-0.009,0.917,0.538,-0.501,-0.013,0.943,-0.005,-0.989,-0.826,0.119,-0.045
1.828,99796,0.165,0.69,1.0,77.1,443.195,219.57,5420.021,140114,0.364,0.317,-0.574,-0.231,0.37,0.247,-0.294,-1.0,-0.368,0.565,-0.235,-0.122,-0.426,0.174,-0.126,16,0.2,0.134,0.303,0.955,0.188,0.614,-0.151,0.176,0.781,-0.099,0.574,0.951,0.936,0.613,-0.356,-1.0,0.987,-0.598,0.705
2.068,93151,0.173,0.66,0.959,78.0,476.884,223.169,5145.984,139090,0.285,0.189,-0.413,0.284,-0.337,-0.616,0.377,-0.764,0.599,-0.168,0.895,0.808,0.817,0.976,0.838,48,0.971,0.109,0.315,0.653,-0.012,0.052,-0.081,0.279,-0.093,0.386,0.653,0.055,-0.05,0.103,-0.034,0.241,0.31,-0.501,0.65
1.556,87482,0.167,0.699,0.912,80.0,457.591,222.088,5195.609,148330,0.399,0.389,-0.63,0.398,0.451,-0.425,0.03,0.518,0.68,0.397,-0.602,-0.762,-0.836,0.513,0.642,24,0.561,0.11,0.199,-0.483,-0.321,0.069,0.244,0.47,0.002,0.289,0.611,-1.0,-0.105,0.284,-0.014,-0.962,0.848,-0.313,0.724
2.239,90606,0.169,0.54,0.901,77.4,463.031,218.386,5222.43,132678,0.296,0.05,-0.589,-0.066,0.019,-0.58,-0.01,-0.163,-0.175,0.783,0.531,0.061,-0.031,0.181,-0.371,16,0.246,0.104,0.502,0.157,0.438,0.664,-0.202,0.76,-0.013,0.592,0.631,0.395,0.059,0.903,0.053,0.559,0.216,-0.449,0.299
1.997,92968,0.199,0.562,0.919,82.8,421.072,217.631,5248.885,140576,0.281,0.151,-0.549,-0.176,-0.169,-0.719,0.323,-0.146,0.601,0.974,-0.368,-0.8,-0.747,0.193,0.265,29,0.616,0.099,0.104,0.427,-0.623,0.848,0.257,0.408,0.962,0.048,0.471,-0.569,0.788,0.454,-0.751,0.044,0.703,-0.066,0.495
1.065,52710,0.075,0.603,0.528,76.6,361.811,217.09,5176.311,93249,0.225,0.469,-0.187,0.465,-0.074,-0.557,0.48,-0.002,0.524,-0.429,0.047,0.204,-0.193,0.558,-0.054,35,0.847,0.116,0.593,-0.036,-0.373,0.801,-0.636,0.494,-0.477,-0.092,0.359,-0.04,0.322,-0.152,-0.572,0.04,0.346,0.018,0.553
1.382,46399,0.082,0.666,0.236,80.1,334.202,210.567,4956.374,73032,0.385,0.339,-0.022,0.259,0.073,-0.572,0.534,0.386,0.418,0.343,0.638,0.247,0.165,0.171,-0.269,28,0.166,0.108,0.318,-0.148,0.577,0.048,-0.099,0.371,-0.405,-0.051,0.255,0.029,0.63,0.033,-0.6,0.494,0.567,-0.851,0.335
1.293,43741,0.075,0.702,0.348,81.9,381.198,211.058,4833.976,64151,0.36,-0.059,-0.293,0.205,-0.005,0.138,0.231,0.42,-0.175,0.335,0.516,0.032,0.001,0.246,0.8,26,0.567,0.023,0.179,-0.463,0.977,0.043,-0.529,0.917,0.654,0.005,0.406,-0.675,0.736,0.45,0.059,0.842,0.052,-0.736,-0.048
1.461,46273,0.092,0.571,0.464,78.1,380.977,208.546,4838.574,67411,0.31,0.007,-0.432,0.241,0.051,-0.037,0.36,0.274,-0.236,0.433,0.543,-0.038,0.069,0.168,0.692,23,0.537,0.041,0.156,-0.376,1.0,0.019,-0.006,0.991,0.787,0.029,0.378,-0.67,0.688,0.386,-0.013,0.79,0.104,-0.816,-0.061
1.376,46200,0.098,0.653,0.424,81.4,373.158,216.664,4931.995,82158,0.226,-0.197,0.13,0.179,0.037,-0.638,0.399,0.523,0.542,0.382,-0.153,0.291,0.415,0.187,-0.338,27,0.648,0.025,0.206,-0.444,-0.096,0.019,0.155,0.926,-0.852,0.065,0.43,0.997,1.0,0.813,0.503,-0.083,-0.427,-0.808,0.545
2.256,86234,0.193,0.525,0.922,81.6,467.673,215.98,5182.052,139283,0.265,0.429,-0.395,0.23,-0.55,-0.793,0.261,-0.676,0.455,-0.591,-0.658,-0.609,-0.77,0.5,0.061,34,0.674,0.123,0.434,0.99,-0.486,0.836,-0.222,0.763,-0.798,0.053,0.628,0.953,0.822,0.308,0.127,-0.53,0.064,-0.553,0.923
1.817,88415,0.189,0.632,0.91,79.9,448.56,217.859,5172.021,159184,0.175,-0.059,-0.613,0.218,-0.452,0.076,0.15,-1.0,0.352,0.157,0.651,0.095,0.162,0.218,-0.022,28,0.212,0.093,0.381,0.948,0.772,0.093,-0.539,1.0,-0.296,-0.02,0.544,0.71,0.635,0.531,-0.321,-0.051,0.627,-0.866,0.849
1.412,40258,0.102,0.623,0.471,81.5,336.405,210.626,5221.519,69428,0.133,0.418,-0.753,0.055,0.354,0.353,0.292,-0.866,-0.392,0.029,-0.618,0.35,-0.149,0.206,-0.019,23,0.021,0.145,0.524,1.0,0.949,0.81,0.043,1.0,0.527,-0.073,0.324,1.0,0.959,1.0,0.433,0.0,-0.562,-1.0,-0.084
1.665,97485,0.168,0.62,0.818,84.1,425.486,214.654,5332.64,135311,0.18,0.316,-0.226,0.15,0.312,0.488,0.033,-0.656,0.001,0.765,-0.282,0.556,0.516,0.179,-0.404,19,0.121,0.111,0.42,0.558,0.416,0.006,-0.132,-0.002,-0.015,0.002,0.474,0.471,0.033,-0.274,0.001,-0.032,0.299,-0.835,-0.367
1.587,99295,0.213,0.56,1.0,79.1,443.053,216.972,5252.007,123046,0.256,-0.31,-0.608,-0.39,-0.476,-0.672,0.382,0.053,0.422,0.933,-0.466,0.372,-0.24,0.214,-0.397,16,-0.037,0.079,0.347,0.028,0.355,0.633,0.243,0.716,-0.034,0.897,0.577,-0.53,-0.032,0.827,-0.05,0.005,0.776,0.953,0.518
1.862,95572,0.212,0.644,0.944,75.9,487.303,218.0,5093.851,132932,0.13,0.491,-0.643,0.408,-0.055,-0.606,0.146,-0.45,0.552,1.0,-0.577,-0.159,-0.459,0.224,-0.794,17,0.183,0.141,0.256,0.383,-0.471,0.887,0.582,1.0,0.056,0.341,0.606,0.669,-0.016,0.532,-0.068,0.893,0.935,-0.651,0.808
1.324,99736,0.155,0.632,0.847,85.1,456.6,219.876,5150.609,157247,0.273,0.252,0.04,0.199,0.002,-0.191,0.122,-0.386,0.394,0.01,0.225,0.652,0.409,0.151,0.428,17,0.254,0.145,0.517,0.394,0.073,0.022,0.007,0.855,-0.036,0.75,0.559,0.56,0.058,0.244,0.037,0.54,0.823,0.004,0.644
1.461,99538,0.188,0.551,1.0,78.8,443.459,221.578,4926.802,140058,0.181,-0.4,0.407,-0.196,0.202,-0.644,0.457,0.838,-0.248,-0.616,-0.522,0.025,0.244,0.15,0.391,28,-0.04,0.098,0.696,-0.593,0.589,0.098,0.204,0.146,-0.099,-0.019,0.566,0.214,0.055,0.334,-0.041,-0.262,-0.121,-0.819,0.198
1.32,45092,0.069,0.623,0.368,80.4,388.132,209.201,5101.953,84737,0.17,-0.301,0.186,0.26,-0.027,-0.631,0.216,0.435,0.604,0.39,-0.199,0.432,0.395,0.176,-0.353,27,0.588,0.098,0.152,-0.438,0.003,0.02,0.706,0.988,-0.809,-0.046,0.383,1.0,1.0,0.807,0.496,0.01,-0.373,-0.748,0.539
1.571,90711,0.177,0.631,0.9,82.0,467.65,225.835,5168.892,147528,0.38,0.377,0.193,0.418,-0.169,0.44,0.11,-0.177,1.0,0.982,-0.01,-0.767,-0.853,0.518,0.022,17,0.123,0.091,0.729,0.211,0.929,0.056,0.506,-0.52,1.0,0.049,0.564,-0.96,-0.919,0.969,0.967,-0.568,1.0,-0.989,0.998
